continentName,ghgYear,co2concentration
South-eastern Asia                                ,2019Q1,         6063.06
South-eastern Asia                                ,2019Q2,         6002.58
South-eastern Asia                                ,2019Q3,         6142.75
South-eastern Asia                                ,2019Q4,         6375.46
South-eastern Asia                                ,2020Q1,         6247.56
South-eastern Asia                                ,2020Q2,         5565.83
South-eastern Asia                                ,2020Q3,          5996.2
South-eastern Asia                                ,2020Q4,         6116.89
South-eastern Asia                                ,2021Q1,         6125.09
South-eastern Asia                                ,2021Q2,         6005.44
South-eastern Asia                                ,2021Q3,         5944.97
South-eastern Asia                                ,2021Q4,         6312.32
South-eastern Asia                                ,2022Q1,         6586.27
South-eastern Asia                                ,2022Q2,         6302.18
South-eastern Asia                                ,2022Q3,         6334.87
South-eastern Asia                                ,2022Q4,          6358.2
South-eastern Asia                                ,2023Q1,          6293.4
South-eastern Asia                                ,2023Q2,         6240.76
Southern Asia                                     ,2010Q1,         8962.35
Southern Asia                                     ,2010Q2,         8701.25
Southern Asia                                     ,2010Q3,          8693.6
Southern Asia                                     ,2010Q4,         8940.59
Southern Asia                                     ,2011Q1,          9367.5
Southern Asia                                     ,2011Q2,         8919.27
Southern Asia                                     ,2011Q3,          8894.8
Southern Asia                                     ,2011Q4,         9412.04
Southern Asia                                     ,2012Q1,        10032.85
Southern Asia                                     ,2012Q2,         9078.28
Southern Asia                                     ,2012Q3,         9098.69
Southern Asia                                     ,2012Q4,         9852.66
Southern Asia                                     ,2013Q1,        10391.98
Southern Asia                                     ,2013Q2,         9484.51
Southern Asia                                     ,2013Q3,         9300.78
Southern Asia                                     ,2013Q4,          9493.4
Southern Asia                                     ,2014Q1,        10295.87
Southern Asia                                     ,2014Q2,          9584.7
Southern Asia                                     ,2014Q3,         9878.98
Southern Asia                                     ,2014Q4,        10737.63
Southern Asia                                     ,2015Q1,        10464.92
Southern Asia                                     ,2015Q2,         9742.68
Southern Asia                                     ,2015Q3,        10058.14
Southern Asia                                     ,2015Q4,        10700.06
Southern Asia                                     ,2016Q1,        10611.43
Southern Asia                                     ,2016Q2,        10305.11
Southern Asia                                     ,2016Q3,        10371.44
Southern Asia                                     ,2016Q4,        10860.34
Southern Asia                                     ,2017Q1,        11178.68
Southern Asia                                     ,2017Q2,        10916.55
Southern Asia                                     ,2017Q3,        10727.87
Southern Asia                                     ,2017Q4,        11108.51
Southern Asia                                     ,2018Q1,        11792.23
Southern Asia                                     ,2018Q2,        11181.96
Southern Asia                                     ,2018Q3,        11129.94
Southern Asia                                     ,2018Q4,        11354.61
Southern Asia                                     ,2019Q1,        11495.36
Southern Asia                                     ,2019Q2,        11217.27
Southern Asia                                     ,2019Q3,        10730.96
Southern Asia                                     ,2019Q4,        11572.04
Southern Asia                                     ,2020Q1,        11960.77
Southern Asia                                     ,2020Q2,         9109.93
Southern Asia                                     ,2020Q3,        10495.63
Southern Asia                                     ,2020Q4,         11502.7
Southern Asia                                     ,2021Q1,        11684.86
Southern Asia                                     ,2021Q2,        10732.62
Southern Asia                                     ,2021Q3,        11223.64
Southern Asia                                     ,2021Q4,        11952.37
Southern Asia                                     ,2022Q1,        12263.38
Southern Asia                                     ,2022Q2,        11774.21
Southern Asia                                     ,2022Q3,        11447.25
Southern Asia                                     ,2022Q4,         11670.3
Southern Asia                                     ,2023Q1,         12233.7
Southern Asia                                     ,2023Q2,        11376.04
Southern Europe                                   ,2010Q1,         2539.45
Southern Europe                                   ,2010Q2,         2470.74
Southern Europe                                   ,2010Q3,         2506.09
Southern Europe                                   ,2010Q4,          2608.8
Southern Europe                                   ,2011Q1,          2602.4
Southern Europe                                   ,2011Q2,         2460.31
Southern Europe                                   ,2011Q3,         2447.59
Southern Europe                                   ,2011Q4,         2553.33
Southern Europe                                   ,2012Q1,         2575.22
Southern Europe                                   ,2012Q2,         2375.82
Southern Europe                                   ,2012Q3,          2363.5
Southern Europe                                   ,2012Q4,         2382.82
Southern Europe                                   ,2013Q1,         2301.42
Southern Europe                                   ,2013Q2,         2191.49
Southern Europe                                   ,2013Q3,         2227.03
Southern Europe                                   ,2013Q4,         2345.82
Southern Europe                                   ,2014Q1,         2226.47
